Mission Log
==================================================
Step: 6 | Drone: drone_1 | Coord: (7, 7) | Status: SEARCHING | Sector: [[0, 0], [0, 2], [0, 5], [2, 0], [2, 2], [2, 5], [5, 0], [5, 2], [5, 5], [7, 0], [7, 2], [7, 5], [13, 0], [13, 2], [13, 5], [15, 0], [15, 2], [15, 5], [17, 0], [17, 2], [17, 5], [19, 0], [19, 2], [19, 5]] | Target: (7, 7)
Step: 7 | Drone: drone_3 | Coord: (7, 13) | Status: SEARCHING | Sector: [[0, 15], [0, 17], [0, 19], [2, 15], [2, 17], [2, 19], [5, 15], [5, 17], [5, 19], [7, 15], [7, 17], [7, 19], [13, 15], [13, 17], [13, 19], [15, 15], [15, 17], [15, 19], [17, 15], [17, 17], [17, 19], [19, 15], [19, 17], [19, 19]] | Target: (8, 13)
Step: 7 | Drone: drone_2 | Coord: (4, 8) | Status: SEARCHING | Sector: [[0, 7], [0, 13], [2, 7], [2, 13], [5, 7], [5, 13], [7, 7], [7, 13], [13, 7], [13, 13], [15, 7], [15, 13], [17, 7], [17, 13], [19, 7], [19, 13]] | Target: (3, 8)
Step: 7 | Drone: drone_1 | Coord: (7, 7) | Status: SEARCHING | Sector: [[0, 0], [0, 2], [0, 5], [2, 0], [2, 2], [2, 5], [5, 0], [5, 2], [5, 5], [7, 0], [7, 2], [7, 5], [13, 0], [13, 2], [13, 5], [15, 0], [15, 2], [15, 5], [17, 0], [17, 2], [17, 5], [19, 0], [19, 2], [19, 5]] | Target: (7, 7)
Step: 8 | Drone: drone_1 | Coord: (7, 7) | Status: SEARCHING | Sector: [[0, 0], [0, 2], [0, 5], [2, 0], [2, 2], [2, 5], [5, 0], [5, 2], [5, 5], [7, 0], [7, 2], [7, 5], [13, 0], [13, 2], [13, 5], [15, 0], [15, 2], [15, 5], [17, 0], [17, 2], [17, 5], [19, 0], [19, 2], [19, 5]] | Target: (7, 7)
Step: 8 | Drone: drone_3 | Coord: (8, 13) | Status: SEARCHING | Sector: [[0, 15], [0, 17], [0, 19], [2, 15], [2, 17], [2, 19], [5, 15], [5, 17], [5, 19], [7, 15], [7, 17], [7, 19], [13, 15], [13, 17], [13, 19], [15, 15], [15, 17], [15, 19], [17, 15], [17, 17], [17, 19], [19, 15], [19, 17], [19, 19]] | Target: (8, 14)
Step: 8 | Drone: drone_2 | Coord: (3, 8) | Status: SEARCHING | Sector: [[0, 7], [0, 13], [2, 7], [2, 13], [5, 7], [5, 13], [7, 7], [7, 13], [13, 7], [13, 13], [15, 7], [15, 13], [17, 7], [17, 13], [19, 7], [19, 13]] | Target: (2, 8)
Step: 9 | Drone: drone_1 | Coord: (7, 7) | Status: SEARCHING | Sector: [[0, 0], [0, 2], [0, 5], [2, 0], [2, 2], [2, 5], [5, 0], [5, 2], [5, 5], [7, 0], [7, 2], [7, 5], [13, 0], [13, 2], [13, 5], [15, 0], [15, 2], [15, 5], [17, 0], [17, 2], [17, 5], [19, 0], [19, 2], [19, 5]] | Target: (7, 7)
Step: 9 | Drone: drone_2 | Coord: (2, 8) | Status: SEARCHING | Sector: [[0, 7], [0, 13], [2, 7], [2, 13], [5, 7], [5, 13], [7, 7], [7, 13], [13, 7], [13, 13], [15, 7], [15, 13], [17, 7], [17, 13], [19, 7], [19, 13]] | Target: (2, 8)
Step: 9 | Drone: drone_3 | Coord: (8, 14) | Status: SEARCHING | Sector: [[0, 15], [0, 17], [0, 19], [2, 15], [2, 17], [2, 19], [5, 15], [5, 17], [5, 19], [7, 15], [7, 17], [7, 19], [13, 15], [13, 17], [13, 19], [15, 15], [15, 17], [15, 19], [17, 15], [17, 17], [17, 19], [19, 15], [19, 17], [19, 19]] | Target: (8, 15)
Step: 10 | Drone: drone_3 | Coord: (8, 15) | Status: SEARCHING | Sector: [[0, 15], [0, 17], [0, 19], [2, 15], [2, 17], [2, 19], [5, 15], [5, 17], [5, 19], [7, 15], [7, 17], [7, 19], [13, 15], [13, 17], [13, 19], [15, 15], [15, 17], [15, 19], [17, 15], [17, 17], [17, 19], [19, 15], [19, 17], [19, 19]] | Target: (7, 15)
Step: 10 | Drone: drone_1 | Coord: (7, 7) | Status: SEARCHING | Sector: [[0, 0], [0, 2], [0, 5], [2, 0], [2, 2], [2, 5], [5, 0], [5, 2], [5, 5], [7, 0], [7, 2], [7, 5], [13, 0], [13, 2], [13, 5], [15, 0], [15, 2], [15, 5], [17, 0], [17, 2], [17, 5], [19, 0], [19, 2], [19, 5]] | Target: (7, 7)
Step: 10 | Drone: drone_2 | Coord: (2, 8) | Status: SEARCHING | Sector: [[0, 7], [0, 13], [2, 7], [2, 13], [5, 7], [5, 13], [7, 7], [7, 13], [13, 7], [13, 13], [15, 7], [15, 13], [17, 7], [17, 13], [19, 7], [19, 13]] | Target: (2, 8)
Step: 11 | Drone: drone_1 | Coord: (7, 7) | Status: SEARCHING | Sector: [[0, 0], [0, 2], [0, 5], [2, 0], [2, 2], [2, 5], [5, 0], [5, 2], [5, 5], [7, 0], [7, 2], [7, 5], [13, 0], [13, 2], [13, 5], [15, 0], [15, 2], [15, 5], [17, 0], [17, 2], [17, 5], [19, 0], [19, 2], [19, 5]] | Target: (7, 7)
Step: 11 | Drone: drone_3 | Coord: (7, 15) | Status: SEARCHING | Sector: [[0, 15], [0, 17], [0, 19], [2, 15], [2, 17], [2, 19], [5, 15], [5, 17], [5, 19], [7, 15], [7, 17], [7, 19], [13, 15], [13, 17], [13, 19], [15, 15], [15, 17], [15, 19], [17, 15], [17, 17], [17, 19], [19, 15], [19, 17], [19, 19]] | Target: (7, 16)
Step: 11 | Drone: drone_2 | Coord: (2, 8) | Status: SEARCHING | Sector: [[0, 7], [0, 13], [2, 7], [2, 13], [5, 7], [5, 13], [7, 7], [7, 13], [13, 7], [13, 13], [15, 7], [15, 13], [17, 7], [17, 13], [19, 7], [19, 13]] | Target: (1, 8)
Step: 12 | Drone: drone_1 | Coord: (7, 7) | Status: SEARCHING | Sector: [[0, 0], [0, 2], [0, 5], [2, 0], [2, 2], [2, 5], [5, 0], [5, 2], [5, 5], [7, 0], [7, 2], [7, 5], [13, 0], [13, 2], [13, 5], [15, 0], [15, 2], [15, 5], [17, 0], [17, 2], [17, 5], [19, 0], [19, 2], [19, 5]] | Target: (7, 7)
Step: 12 | Drone: drone_3 | Coord: (7, 16) | Status: SEARCHING | Sector: [[0, 15], [0, 17], [0, 19], [2, 15], [2, 17], [2, 19], [5, 15], [5, 17], [5, 19], [7, 15], [7, 17], [7, 19], [13, 15], [13, 17], [13, 19], [15, 15], [15, 17], [15, 19], [17, 15], [17, 17], [17, 19], [19, 15], [19, 17], [19, 19]] | Target: (7, 16)
Step: 12 | Drone: drone_2 | Coord: (1, 8) | Status: SEARCHING | Sector: [[0, 7], [0, 13], [2, 7], [2, 13], [5, 7], [5, 13], [7, 7], [7, 13], [13, 7], [13, 13], [15, 7], [15, 13], [17, 7], [17, 13], [19, 7], [19, 13]] | Target: (0, 8)
Step: 13 | Drone: drone_2 | Coord: (0, 8) | Status: SEARCHING | Sector: [[0, 7], [0, 13], [2, 7], [2, 13], [5, 7], [5, 13], [7, 7], [7, 13], [13, 7], [13, 13], [15, 7], [15, 13], [17, 7], [17, 13], [19, 7], [19, 13]] | Target: (0, 9)
Step: 13 | Drone: drone_1 | Coord: (7, 7) | Status: SEARCHING | Sector: [[0, 0], [0, 2], [0, 5], [2, 0], [2, 2], [2, 5], [5, 0], [5, 2], [5, 5], [7, 0], [7, 2], [7, 5], [13, 0], [13, 2], [13, 5], [15, 0], [15, 2], [15, 5], [17, 0], [17, 2], [17, 5], [19, 0], [19, 2], [19, 5]] | Target: (7, 6)
Step: 13 | Drone: drone_3 | Coord: (7, 16) | Status: SEARCHING | Sector: [[0, 15], [0, 17], [0, 19], [2, 15], [2, 17], [2, 19], [5, 15], [5, 17], [5, 19], [7, 15], [7, 17], [7, 19], [13, 15], [13, 17], [13, 19], [15, 15], [15, 17], [15, 19], [17, 15], [17, 17], [17, 19], [19, 15], [19, 17], [19, 19]] | Target: (6, 16)
